nct_id	gender	max_age	max_age_in_years	max_age_number	max_age_unit	min_age	min_age_in_years	min_age_number	min_age_unit
NCT02839707	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02839720	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03109301	BOTH	999 Years	999	999	Years	3 Years	3	3	Years
NCT02844816	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02887521	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02900976	BOTH	29 Years	29	29	Years	0 Years	0	0	Years
NCT02849496	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02862275	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02867592	BOTH	30 Years	30	30	Years	2 Years	2	2	Years
NCT02879695	BOTH	999 Years	999	999	Years	16 Years	16	16	Years
NCT02883062	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02888743	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02890329	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02893917	MALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02893930	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03115333	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02899728	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02898207	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03267433	BOTH	70 Years	70	70	Years	18 Years	18	18	Years
NCT02975882	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT02912559	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02921269	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02923778	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02981628	BOTH	21 Years	21	21	Years	1 Years	1	1	Years
NCT02936752	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02305654	MALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT03007147	BOTH	21 Years	21	21	Years	2 Years	2	2	Years
NCT02954874	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03373760	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT03180268	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02965716	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02971501	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02974621	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03274687	MALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT02978625	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03188393	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03300544	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03250299	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT02993146	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03150693	BOTH	39 Years	39	39	Years	18 Years	18	18	Years
NCT03186898	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03216499	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03269669	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03018249	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT03033576	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03377556	BOTH	999 Years	999	999	Years	0 Years	0	0	Years
NCT03067181	BOTH	49 Years	49	49	Years	0 Years	0	0	Years
NCT03180502	BOTH	999 Years	999	999	Years	18 Years	18	18	Years
NCT03148275	BOTH	999 Years	999	999	Years	15 Years	15	15	Years
NCT03233204	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03206047	FEMALE	999 Years	999	999	Years	18 Years	18	18	Years
NCT03233191	FEMALE	74 Years	74	74	Years	45 Years	45	45	Years
NCT03213652	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03220035	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03213665	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03213678	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03213691	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03155620	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
NCT03213704	BOTH	21 Years	21	21	Years	12 Months	1	12	Months
